"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
9	9234	43	0.00449593053233167	1866
11	9234	130	0.00142666920296747	375
4	9235	55	0.00335359581561423	1190
5	9235	167	0.000711979393411696	314
6	9235	84	0.00250534183822312	1271
9	9235	63	0.00316835404609654	1315
10	9235	129	0.00108038815603492	386
11	9235	104	0.00171200304356097	450
4	9236	28	0.00702282417858039	2492
5	9236	17	0.00963893121462778	4251
6	9236	41	0.00504025104668491	2557
7	9236	34	0.00578068383524727	2677
8	9236	39	0.00483577841529683	2134
9	9236	44	0.00448629295348423	1862
10	9236	25	0.00717926326484344	2565
11	9236	43	0.00480882632680236	1264
12	9236	14	0.0125978954549977	2659
13	9236	14	0.0126632220053073	4333
4	9237	29	0.00691009826881184	2452
6	9237	105	0.00190610980138612	967
7	9237	100	0.00189162459457475	876
9	9237	113	0.00108663701504908	451
10	9237	109	0.00126231880407189	451
5	9311	75	0.00246245102307357	1086
6	9311	174	0.000687934147553004	349
9	9311	118	0.00104326791023559	433
12	9311	79	0.00240208085584198	507
8	9312	157	0.000652626140396198	288
4	9322	125	0.000374813649980414	133
6	9322	161	0.000816059418587232	414
4	9331	22	0.00819235549242905	2907
5	9331	42	0.0049135647946597	2167
6	9331	63	0.00336673789117631	1708
7	9331	40	0.00530777768660358	2458
8	9331	90	0.00193521779131373	854
9	9331	85	0.00203111974209839	843
10	9331	49	0.00403326252032725	1441
13	9331	80	0.00184117928994775	630
5	9332	142	0.000981805978812944	433
4	9411	12	0.0126224837463329	4479
5	9411	16	0.00988381584675664	4359
6	9411	25	0.00753770825284438	3824
7	9411	19	0.00890316004957957	4123
8	9411	17	0.00898493974538516	3965
9	9411	23	0.00709566742642913	2945
10	9411	11	0.0135776242096513	4851
11	9411	21	0.00881871789994293	2318
12	9411	13	0.0126357981115001	2667
13	9411	22	0.00751376500707247	2571
4	9512	15	0.0107230521667329	3805
5	9512	23	0.0076934588593818	3393
6	9512	11	0.0119964676848355	6086
7	9512	104	0.00180524904231106	836
8	9512	37	0.00500799920234583	2210
9	9512	25	0.00665956698358238	2764
10	9512	13	0.0127071560321206	4540
11	9512	17	0.0103975651512269	2733
12	9512	8	0.0166582175328213	3516
13	9512	9	0.0159072045637866	5443
4	9521	17	0.00935906865853349	3321
5	9521	26	0.00684996734871572	3021
6	9521	14	0.010098242515513	5123
7	9521	33	0.00588001572035051	2723
8	9521	16	0.0101225033651035	4467
9	9521	37	0.00515369528866958	2139
10	9521	12	0.013096207725615	4679
11	9521	29	0.00635343351721514	1670
12	9521	15	0.012299412035041	2596
13	9521	6	0.0183241176951942	6270
4	9601	93	0.00141189201985103	501
5	9601	90	0.00219035698737484	966
9	9601	114	0.00108422762033722	450
10	9601	70	0.00271496505532091	970
12	9601	51	0.00481363737580958	1016
4	9611	5	0.0258395966666948	9169
5	9611	4	0.0223820018865186	9871
6	9611	3	0.0235849056603774	11965
7	9611	3	0.0228031457976134	10560
8	9611	3	0.0226742262527929	10006
9	9611	3	0.033435170416488	13877
10	9611	2	0.0315747637000775	11281
11	9611	1	0.0389727981738634	10244
12	9611	5	0.0224667996418199	4742
13	9611	3	0.0374402347357469	12811
4	9621	8	0.0184025047697151	6530
5	9621	53	0.00416757364678566	1838
6	9621	4	0.0209888905534223	10648
7	9621	18	0.00896794171377733	4153
8	9621	4	0.0205531912965053	9070
9	9621	17	0.0106254306793047	4410
10	9621	6	0.0196597057201795	7024
11	9621	7	0.0145215902606049	3817
12	9621	35	0.00650978125429366	1374
13	9621	12	0.0136831768818021	4682
5	9622	101	0.00192279785227108	848
6	9622	143	0.00111567543700573	566
7	9622	125	0.00122221406453118	566
10	9622	66	0.00278213944844225	994
11	9622	83	0.0021533193836789	566
12	9622	101	0.00182880317624261	386
4	9623	77	0.00213615599011394	758
5	9623	73	0.00255995138586562	1129
6	9623	72	0.00298039092005772	1512
7	9623	130	0.00111424462420157	516
8	9623	127	0.00102199440735655	451
4	9631	109	0.00114416798415074	406
6	9631	154	0.000865338368985011	439
